modelo,representacao,protocolo_features,subset_features,variante,features_usadas,n_features,thr,f1,precision,recall,false_alarm_rate,accuracy,balanced_accuracy,mcc,avg_precision,objective_score,tp,fp,fn,tn
KAN (pykan),idle,current,current_geom_4,"width=[4,8,2],grid=3,k=3,steps=25","js, fro, cos, euclid",4,0.5,0.6840390879478827,0.9693500738552437,0.528488020938192,0.001062957840274576,0.9708010740388436,0.7637125315489588,0.7041910771250474,0.6203430093285812,0.8745951855910263,2625.0,83.0,2342.0,78001.0
Random Forest,composite,current,current_pair_cos_euclid,rf,"cos, euclid",2,0.5,0.6701451475192107,0.6336562612127736,0.711093215220455,0.026151324214948004,0.9581341585290966,0.8424709455027535,0.6491005164234827,0.6346909778530232,0.8716099204196673,3532.0,2042.0,1435.0,76042.0
Random Forest,idle,current,current_pair_cos_euclid,rf,"cos, euclid",2,0.5,0.6746666666666667,0.8477002741395065,0.5602979665794242,0.006403360483581783,0.96768250833825,0.7769473030479213,0.674070699043704,0.6069362956853744,0.8666623162593934,2783.0,500.0,2184.0,77584.0
KAN (pykan),idle,current,current_pair_cos_euclid,"width=[2,8,2],grid=3,k=3,steps=25","cos, euclid",2,0.5,0.6716259298618491,0.9871144084342054,0.5089591302597141,0.0004226217919163977,0.9702351567109366,0.7542682542338988,0.6975486304634992,0.6047336397467329,0.860045075793153,2528.0,33.0,2439.0,78051.0
KAN (pykan),idle,current,current_pair_rare_avg_pool,"width=[2,8,2],grid=3,k=3,steps=25","rare, avg_pool",2,0.5,0.6668428005284016,0.9696504033807145,0.5081538151801892,0.0010117309564059219,0.9696331170003973,0.7535710421118916,0.6901810766361974,0.5972969172241825,0.8548814552216325,2524.0,79.0,2443.0,78005.0
TEDA,idle,legacy,legacy_univar_js,legacy_univar_js,js,1,1.8,0.664066702528241,1.0,0.4970807328367224,0.0,0.9699220960614562,0.7485403664183612,0.694025568117878,0.6455716429110225,0.8512017941328313,2469.0,0.0,2498.0,78084.0
Random Forest,composite,legacy,legacy_univar_js,rf,js,1,0.5,0.6499144375394038,0.5880052151238592,0.7263942017314274,0.0323753906049895,0.9531974329026742,0.8470094055632189,0.629145581273409,0.7426707056553723,0.8503354022184623,3608.0,2528.0,1359.0,75556.0
Random Forest,composite,legacy,legacy_univar_fro,rf,fro,1,0.5,0.6498649864986499,0.5876607520755331,0.7267968592711899,0.03243942420982532,0.9531613105200419,0.8471787175306823,0.6291224456968307,0.7533980805642494,0.8503058674078816,3610.0,2533.0,1357.0,75551.0
KAN (pykan),idle,current,current_pair_js_fro,"width=[2,8,2],grid=3,k=3,steps=25","js, fro",2,0.5,0.6626873590661891,0.9712286158631416,0.5029192671632776,0.000947697351570104,0.9693802603219709,0.7509857849058538,0.6871166292728554,0.59992835016958,0.850102111219603,2498.0,74.0,2469.0,78010.0
ANN (MLP),idle,current,current_univar_avg_pool,mlp,avg_pool,1,0.5,0.6620545620676153,0.941351150705271,0.5105697604187639,0.0020234619128118437,0.9688263837882747,0.754273149252976,0.6806877751890045,0.5870294483949863,0.8499146377113751,2536.0,158.0,2431.0,77926.0
ANN (MLP),idle,current,current_pair_rare_avg_pool,mlp,"rare, avg_pool",2,0.5,0.6589035718958525,0.9409566517189836,0.5069458425609019,0.0020234619128118437,0.9686096494924805,0.752461190324045,0.6780304216175873,0.57829046420673,0.8463106578073796,2518.0,158.0,2449.0,77926.0
